17.08.2019-00:07:07,17.56,17.06,17.44,17.56,44.62,18.19,18.75,18.50,18.31,0,1,1,1,1.080,0.167,22383.567
17.08.2019-00:07:18,17.56,17.06,17.44,17.56,44.62,18.19,18.75,18.56,18.31,0,1,1,1,1.080,0.167,22383.567
17.08.2019-00:07:28,17.56,17.06,17.44,17.56,44.62,18.19,18.75,18.56,18.31,0,1,1,1,1.044,0.175,22383.575
17.08.2019-00:07:38,17.56,17.06,17.38,17.50,44.62,18.19,18.75,18.50,18.31,0,1,1,1,1.044,0.175,22383.575
17.08.2019-00:07:48,17.56,17.06,17.38,17.50,44.62,18.19,18.75,18.50,18.31,0,1,1,1,1.044,0.175,22383.575
17.08.2019-00:07:58,17.56,17.06,17.44,17.50,44.62,18.19,18.75,18.50,18.31,0,1,1,1,1.044,0.183,22383.583
17.08.2019-00:08:08,17.56,17.06,17.44,17.50,44.62,18.19,18.75,18.50,18.31,0,1,1,1,1.044,0.183,22383.583
17.08.2019-00:08:18,17.56,17.06,17.38,17.50,44.62,18.19,18.75,18.50,18.31,0,1,1,1,1.044,0.183,22383.583
17.08.2019-00:08:28,17.56,17.06,17.38,17.50,44.62,18.19,18.75,18.50,18.25,0,1,1,1,1.047,0.192,22383.592
17.08.2019-00:08:38,17.56,17.06,17.38,17.50,44.62,18.19,18.75,18.50,18.25,0,1,1,1,1.047,0.192,22383.592
17.08.2019-00:08:48,17.56,17.06,17.38,17.50,44.62,18.19,18.75,18.50,18.25,0,1,1,1,1.046,0.200,22383.600
17.08.2019-00:08:58,17.56,17.06,17.38,17.50,44.62,18.19,18.75,18.50,18.25,0,1,1,1,1.046,0.200,22383.600
17.08.2019-00:09:08,17.56,17.06,17.38,17.56,44.62,18.12,18.75,18.50,18.25,0,1,1,1,1.046,0.200,22383.600
17.08.2019-00:09:18,17.56,17.06,17.38,17.56,44.62,18.12,18.75,18.50,18.25,0,1,1,1,1.040,0.208,22383.608
17.08.2019-00:09:28,17.50,17.06,17.38,17.56,44.62,18.12,18.75,18.50,18.25,0,1,1,1,1.040,0.208,22383.608
17.08.2019-00:09:38,17.50,17.06,17.38,17.56,44.62,18.12,18.75,18.50,18.31,0,1,1,1,1.040,0.208,22383.608
17.08.2019-00:09:48,17.50,17.00,17.38,17.56,44.62,18.12,18.75,18.50,18.31,0,1,1,1,1.037,0.217,22383.617
17.08.2019-00:09:58,17.50,17.00,17.38,17.56,44.62,18.12,18.75,18.50,18.31,0,1,1,1,1.037,0.217,22383.617
17.08.2019-00:10:08,17.56,17.00,17.38,17.56,44.62,18.12,18.75,18.50,18.31,0,1,1,1,1.037,0.217,22383.617
17.08.2019-00:10:18,17.56,17.00,17.44,17.56,44.62,18.12,18.75,18.50,18.25,0,1,1,1,1.038,0.225,22383.625
17.08.2019-00:10:28,17.50,17.00,17.38,17.56,44.62,18.12,18.75,18.50,18.25,0,1,1,1,1.038,0.225,22383.625
17.08.2019-00:10:38,17.50,17.00,17.38,17.56,44.62,18.19,18.75,18.44,18.25,0,1,1,1,1.038,0.225,22383.625
17.08.2019-00:10:48,17.50,17.00,17.38,17.56,44.62,18.19,18.75,18.44,18.31,0,1,1,1,1.036,0.233,22383.633
17.08.2019-00:10:58,17.56,17.00,17.38,17.56,44.62,18.19,18.75,18.44,18.31,0,1,1,1,1.036,0.233,22383.633
17.08.2019-00:11:08,17.56,17.00,17.38,17.56,44.56,18.19,18.75,18.44,18.31,0,1,1,1,1.036,0.233,22383.633
17.08.2019-00:11:18,17.56,17.00,17.38,17.56,44.56,18.19,18.75,18.44,18.31,0,1,1,1,1.039,0.242,22383.642
17.08.2019-00:11:28,17.50,17.00,17.31,17.56,44.62,18.19,18.75,18.44,18.31,0,1,1,1,1.039,0.242,22383.642
17.08.2019-00:11:39,17.50,17.00,17.31,17.56,44.62,18.19,18.75,18.50,18.25,0,1,1,1,1.039,0.242,22383.642
17.08.2019-00:11:49,17.50,16.94,17.31,17.50,44.62,18.19,18.75,18.50,18.25,0,1,1,1,1.038,0.250,22383.650
17.08.2019-00:11:59,17.50,16.94,17.31,17.50,44.62,18.12,18.75,18.50,18.25,0,1,1,1,1.038,0.250,22383.650
17.08.2019-00:12:09,17.50,16.94,17.38,17.50,44.62,18.12,18.75,18.50,18.25,0,1,1,1,1.038,0.250,22383.650
17.08.2019-00:12:19,17.50,16.94,17.38,17.50,44.56,18.12,18.75,18.44,18.25,0,1,1,1,1.041,0.258,22383.658
17.08.2019-00:12:29,17.44,16.94,17.38,17.50,44.56,18.12,18.75,18.44,18.25,0,1,1,1,1.041,0.258,22383.658
17.08.2019-00:12:39,17.44,16.94,17.38,17.50,44.56,18.12,18.75,18.44,18.25,0,1,1,1,1.038,0.267,22383.667
17.08.2019-00:12:49,17.44,16.94,17.38,17.50,44.56,18.12,18.75,18.44,18.25,0,1,1,1,1.038,0.267,22383.667
17.08.2019-00:12:59,17.50,16.94,17.38,17.50,44.56,18.12,18.75,18.44,18.25,0,1,1,1,1.038,0.267,22383.667
17.08.2019-00:13:09,17.50,16.94,17.38,17.50,44.56,18.12,18.75,18.44,18.25,0,1,1,1,1.041,0.275,22383.675
17.08.2019-00:13:19,17.50,17.00,17.38,17.50,44.56,18.12,18.75,18.44,18.25,0,1,1,1,1.041,0.275,22383.675
17.08.2019-00:13:29,17.50,17.00,17.38,17.50,44.56,18.12,18.75,18.44,18.25,0,1,1,1,1.041,0.275,22383.675
17.08.2019-00:13:39,17.50,17.00,17.38,17.50,44.56,18.12,18.75,18.44,18.25,0,1,1,1,1.041,0.283,22383.683
17.08.2019-00:13:49,17.50,17.00,17.38,17.50,44.56,18.12,18.75,18.50,18.25,0,1,1,1,1.041,0.283,22383.683
17.08.2019-00:13:59,17.50,17.00,17.38,17.50,44.56,18.12,18.75,18.50,18.25,0,1,1,1,1.041,0.283,22383.683
17.08.2019-00:14:09,17.50,16.94,17.31,17.56,44.56,18.12,18.75,18.44,18.25,0,1,1,1,1.042,0.292,22383.692
17.08.2019-00:14:19,17.50,16.94,17.31,17.56,44.56,18.12,18.75,18.44,18.25,0,1,1,1,1.042,0.292,22383.692
17.08.2019-00:14:29,17.44,17.00,17.31,17.56,44.56,18.12,18.75,18.44,18.25,0,1,1,1,1.042,0.292,22383.692
17.08.2019-00:14:39,17.44,17.00,17.31,17.56,44.56,18.12,18.75,18.44,18.31,0,1,1,1,1.041,0.300,22383.700
17.08.2019-00:14:49,17.50,17.00,17.38,17.56,44.56,18.12,18.75,18.44,18.31,0,1,1,1,1.041,0.300,22383.700
17.08.2019-00:14:59,17.50,17.00,17.38,17.56,44.56,18.12,18.75,18.44,18.25,0,1,1,1,1.041,0.300,22383.700
17.08.2019-00:15:09,17.44,17.00,17.31,17.50,44.56,18.12,18.75,18.44,18.25,0,1,1,1,1.043,0.308,22383.708
17.08.2019-00:15:19,17.44,17.00,17.31,17.50,44.50,18.12,18.75,18.50,18.25,0,1,1,1,1.043,0.308,22383.708
17.08.2019-00:15:29,17.44,16.94,17.31,17.50,44.50,18.12,18.75,18.50,18.25,0,1,1,1,1.043,0.308,22383.708
17.08.2019-00:15:40,17.44,16.94,17.31,17.56,44.50,18.12,18.69,18.44,18.25,0,1,1,1,1.040,0.317,22383.717
17.08.2019-00:15:50,17.44,16.94,17.31,17.56,44.50,18.12,18.69,18.44,18.25,0,1,1,1,1.040,0.317,22383.717
17.08.2019-00:16:00,17.50,16.94,17.31,17.50,44.50,18.12,18.69,18.44,18.25,0,1,1,1,1.040,0.317,22383.717
17.08.2019-00:16:10,17.50,16.94,17.31,17.50,44.50,18.12,18.75,18.44,18.25,0,1,1,1,1.037,0.325,22383.725
17.08.2019-00:16:20,17.50,16.94,17.38,17.50,44.50,18.12,18.75,18.44,18.25,0,1,1,1,1.037,0.325,22383.725
17.08.2019-00:16:30,17.50,16.94,17.38,17.50,44.50,18.12,18.75,18.44,18.25,0,1,1,1,1.034,0.333,22383.733
17.08.2019-00:16:40,17.44,16.94,17.38,17.50,44.50,18.12,18.75,18.44,18.25,0,1,1,1,1.034,0.333,22383.733
17.08.2019-00:16:50,17.44,16.94,17.31,17.50,44.50,18.12,18.75,18.44,18.25,0,1,1,1,1.034,0.333,22383.733
17.08.2019-00:17:00,17.44,16.94,17.31,17.50,44.50,18.12,18.75,18.44,18.25,0,1,1,1,1.032,0.342,22383.742
17.08.2019-00:17:10,17.50,16.94,17.31,17.50,44.50,18.12,18.75,18.44,18.25,0,1,1,1,1.032,0.342,22383.742
17.08.2019-00:17:20,17.50,16.94,17.31,17.50,44.50,18.12,18.69,18.44,18.25,0,1,1,1,1.032,0.342,22383.742
17.08.2019-00:17:30,17.50,16.94,17.31,17.50,44.50,18.12,18.69,18.44,18.25,0,1,1,1,1.029,0.350,22383.750
17.08.2019-00:17:40,17.50,16.94,17.31,17.50,44.50,18.12,18.69,18.44,18.25,0,1,1,1,1.029,0.350,22383.750
17.08.2019-00:17:50,17.50,16.94,17.31,17.50,44.50,18.12,18.69,18.44,18.25,0,1,1,1,1.029,0.350,22383.750
17.08.2019-00:18:00,17.50,16.94,17.31,17.50,44.50,18.12,18.75,18.44,18.25,0,1,1,1,1.028,0.358,22383.758
17.08.2019-00:18:10,17.50,16.94,17.31,17.50,44.50,18.12,18.75,18.44,18.19,0,1,1,1,1.028,0.358,22383.758
17.08.2019-00:18:20,17.44,16.94,17.31,17.50,44.50,18.12,18.75,18.44,18.19,0,1,1,1,1.028,0.358,22383.758
17.08.2019-00:18:30,17.44,16.94,17.31,17.50,44.44,18.12,18.75,18.44,18.19,0,1,1,1,1.025,0.367,22383.767
17.08.2019-00:18:40,17.44,16.94,17.31,17.50,44.44,18.12,18.75,18.44,18.25,0,1,1,1,1.025,0.367,22383.767
17.08.2019-00:18:50,17.44,16.94,17.38,17.50,44.44,18.12,18.75,18.44,18.25,0,1,1,1,1.025,0.367,22383.767
17.08.2019-00:19:00,17.44,16.94,17.38,17.50,44.44,18.12,18.75,18.44,18.25,0,1,1,1,1.023,0.375,22383.775
17.08.2019-00:19:10,17.44,16.94,17.31,17.50,44.44,18.12,18.75,18.44,18.25,0,1,1,1,1.023,0.375,22383.775
17.08.2019-00:19:21,17.44,16.94,17.31,17.50,44.44,18.12,18.69,18.44,18.19,0,1,1,1,1.023,0.375,22383.775
